,text
30,"Lalu, ada Putri @puskapa yang mengulas rancangan Buku 1 RKUHP dalam eBook ini bersama @jentera

Tentunya ada pandangan perlindungan anak dan kelompok rentan di sana.pic.twitter.com/6p3BxLAQim"
31,"Abis googling ttg pasal 302 KUHP, emang hukumannya segitu. Dan dia udh dpt hukuman maksimal ituu. Kalo lebih dr itu kan menyalahi kuhp dongg zheyeng. Oiya KUHP yg kita pake juga bukan produk indo yaa. Yg produk indo masih RKUHP, blm disahkan. Bukannya ngebela pelaku ini yaa pic.twitter.com/610MO0vzQa"
32,"memang gitu sistemnya, yg harus dirubah adalah batas minimal hukuman dalam aturan ini, ayo tunjukin perhatian kita ke RKUHP kedepan, tekan terus anggota2 dewan disana"
33,RUU PKS Harus Selaras dengan RKUHP http://bit.ly/2KkuNok  #teropongsenayan #sahabaTS #connectsindonesia #digitsurvey
34,"Masih inget #RKUHP? @DPR_RI Menyatakan prosesnya sudah 98% atau hampir rampung. Apa iya? Bagaimana dengan pasal-pasal yang mengatur tentang #PidanaMati, #Narkotika, dan #Kesusilaan? Tengok selengkapnya di komik berikut!pic.twitter.com/YAzhofMIcu"
35,"RUU PKS dan RKUHP, Mana yang Harus Disahkan Duluan? http://bit.ly/2ZmC51b 

Menurut anggota @DPR_RI RKUHP harus disahkan duluan dan dijadikan acuan untuk RUU PKS. 

Kalau menurut Anda? pic.twitter.com/evsPM6p7bX"
36,RKUHP Dinilai Timbulkan Masalah Baru #Aborsi #alatkontrasepsi #dprri #Kesehatanreproduksi #kesetaraangender #lbhsurabaya #Narkotika #pkbi #presiden #programpemerintah #rkuhp #zina https://www.superradio.id/rkuhp-dinilai-timbulkan-masalah-baru/ …pic.twitter.com/LCaNnLwIWr
37,"Komisi III @DPR_RI @bambangsoesatyo, Tolak RKUHP yg kriminalisasi perempuan, anak, masyarakat adat & kelompok marjinal. - Tandatangani Petisi! http://chng.it/5Dp9hbhL  via @ChangeOrg_ID"
38,"""Olehnya, saya meminta parlemen kita, yang sedang membahas RKUHP, untuk mengeluarkan pasal-pasal penodaan agama dari draft yang ada."" - Gomar Gultom, Persekutuan Gereja Indonesia

Ga setuju UAS dipidana gara, tapi minta UU penodaan agama dihapus. YHAAAAAAampun, pak~ https://twitter.com/tempodotco/status/1163629408529395713 …"
39,"#JogjaPers (via pkbidiy): https://twitter.com/pkbidiy/status/1163730896001781760 … RT ICJRid: Filosofi kolonial di dalam RKUHP masih sangat kental, secara mudah nampak di dalam beberapa pasal hasil duplikasi besar-besaran dari KUHP yang saat ini berlaku

https://kbr.id/nasional/08-2019/icjr__rkuhp_masih_berisi_hukum_penjajah/100217.html …pic.twitter.com/LLEmrvXYKL"
40,"#JogjaPers (via pkbidiy): https://twitter.com/pkbidiy/status/1163725647291699200 … Tau gak sih kalo salah satu pasal dalam RKUHP isinya mengancam kebebasan seseorang untuk mengakses informasi kesehatan reproduksi?

DPR_RI
suarapkbi 

#TolakRKUHPpic.twitter.com/j7fEFej4p1"
41,"RKUHP yang seharusnya hadir dengan nuansa penghormatan Hak Asasi Manusia termasuk melindungi kelompok rentan seperti kelompok minoritas seksual, pengguna dan pecandu narkotika, pekerja seks

http://icjr.or.id/penanggulangan-hivaids-di-indonesia-dalam-ancaman-rkuhp/ …pic.twitter.com/QUyqazSiZw"
